section,latency_us
book: add_resting_order,0.542
book: add_resting_order,0.459
book: add_resting_order,0.459
book: add_resting_order,0.458
book: add_resting_order,0.417
book: add_resting_order,0.459
book: add_resting_order,0.584
book: add_resting_order,0.417
book: add_resting_order,0.459
book: add_resting_order,0.542
book: add_resting_order,0.417
book: add_resting_order,0.458
book: add_resting_order,0.417
book: add_resting_order,0.5
book: add_resting_order,0.458
book: add_resting_order,0.5
book: add_resting_order,0.458
book: add_resting_order,0.416
book: add_resting_order,0.458
book: add_resting_order,0.458
book: add_resting_order,0.458
book: add_resting_order,0.541
book: add_resting_order,0.417
book: add_resting_order,0.417
book: add_resting_order,0.416
book: add_resting_order,0.458
book: add_resting_order,0.416
book: add_resting_order,0.416
book: add_resting_order,0.417
book: add_resting_order,0.417
book: add_resting_order,0.458
book: add_resting_order,0.416
book: add_resting_order,0.458
book: add_resting_order,0.417
book: add_resting_order,0.416
book: add_resting_order,0.375
book: add_resting_order,0.417
book: add_resting_order,0.417
book: add_resting_order,0.417
book: add_resting_order,0.458
book: add_resting_order,0.458
book: add_resting_order,0.416
book: add_resting_order,0.416
book: add_resting_order,0.417
book: add_resting_order,0.417
book: add_resting_order,0.459
book: add_resting_order,0.417
book: add_resting_order,0.459
book: add_resting_order,0.459
book: add_resting_order,0.417
book: add_resting_order,0.416
book: add_resting_order,0.458
book: add_resting_order,0.375
book: add_resting_order,0.375
book: add_resting_order,0.708
book: add_resting_order,0.417
book: add_resting_order,0.417
book: add_resting_order,0.416
book: add_resting_order,0.458
book: add_resting_order,0.458
book: add_resting_order,0.417
book: add_resting_order,0.375
book: add_resting_order,0.417
book: add_resting_order,0.542
book: add_resting_order,0.459
book: add_resting_order,0.417
book: add_resting_order,0.375
book: add_resting_order,0.5
book: add_resting_order,0.416
book: add_resting_order,0.416
book: add_resting_order,0.417
book: add_resting_order,0.417
book: add_resting_order,0.417
book: add_resting_order,0.416
book: add_resting_order,0.416
book: add_resting_order,0.417
book: add_resting_order,0.458
book: add_resting_order,0.375
book: add_resting_order,0.459
book: add_resting_order,0.417
book: add_resting_order,0.416
book: add_resting_order,0.458
book: add_resting_order,0.375
book: add_resting_order,0.458
book: add_resting_order,0.458
book: add_resting_order,0.416
book: add_resting_order,0.458
book: add_resting_order,0.375
book: add_resting_order,0.417
book: add_resting_order,0.416
book: add_resting_order,0.5
book: add_resting_order,0.416
book: add_resting_order,0.417
book: add_resting_order,0.459
book: add_resting_order,0.5
book: add_resting_order,0.417
book: add_resting_order,0.375
book: add_resting_order,0.417
book: add_resting_order,0.583
book: add_resting_order,0.416
book: add_resting_order,0.417
book: add_resting_order,0.459
book: add_resting_order,0.459
book: add_resting_order,0.417
book: add_resting_order,0.416
book: add_resting_order,0.375
book: add_resting_order,0.417
book: add_resting_order,0.417
book: add_resting_order,0.583
book: add_resting_order,0.458
book: add_resting_order,1.625
book: add_resting_order,0.459
book: add_resting_order,0.459
book: add_resting_order,0.459
book: add_resting_order,0.417
book: add_resting_order,0.417
book: add_resting_order,0.416
book: add_resting_order,0.417
book: add_resting_order,0.417
book: add_resting_order,0.458
book: add_resting_order,0.375
book: add_resting_order,0.417
book: add_resting_order,0.416
book: add_resting_order,0.417
book: add_resting_order,0.375
book: add_resting_order,0.416
book: add_resting_order,0.417
book: add_resting_order,0.417
book: add_resting_order,0.375
book: add_resting_order,0.459
book: add_resting_order,0.417
book: add_resting_order,0.416
book: add_resting_order,0.375
book: add_resting_order,0.458
book: add_resting_order,0.458
book: add_resting_order,0.417
book: add_resting_order,0.417
book: add_resting_order,0.416
book: add_resting_order,0.416
book: add_resting_order,0.417
book: add_resting_order,0.417
book: add_resting_order,0.416
book: add_resting_order,0.458
book: add_resting_order,0.5
book: add_resting_order,0.416
book: add_resting_order,0.417
book: add_resting_order,0.417
book: add_resting_order,0.417
book: add_resting_order,0.416
book: add_resting_order,0.417
book: add_resting_order,0.417
book: add_resting_order,0.416
book: add_resting_order,0.417
book: add_resting_order,0.417
book: add_resting_order,0.417
book: add_resting_order,0.458
book: add_resting_order,0.416
book: add_resting_order,0.417
book: add_resting_order,0.417
book: add_resting_order,0.416
book: add_resting_order,0.416
book: add_resting_order,0.416
book: add_resting_order,0.417
book: add_resting_order,0.417
book: add_resting_order,0.416
book: add_resting_order,0.417
book: add_resting_order,0.417
book: add_resting_order,0.375
book: add_resting_order,0.375
book: add_resting_order,0.375
book: add_resting_order,0.458
book: add_resting_order,0.417
book: add_resting_order,0.417
book: add_resting_order,0.416
book: add_resting_order,0.417
book: add_resting_order,0.459
book: add_resting_order,0.417
book: add_resting_order,0.541
book: add_resting_order,0.417
book: add_resting_order,0.417
book: add_resting_order,1.5
book: add_resting_order,0.375
book: add_resting_order,0.375
book: add_resting_order,0.417
book: add_resting_order,0.458
book: add_resting_order,0.416
book: add_resting_order,0.375
book: add_resting_order,0.416
book: add_resting_order,0.417
book: add_resting_order,0.417
book: add_resting_order,0.375
book: add_resting_order,0.375
book: add_resting_order,0.417
book: add_resting_order,0.417
book: add_resting_order,0.458
book: add_resting_order,0.416
book: add_resting_order,0.417
book: add_resting_order,0.417
book: add_resting_order,0.458
book: add_resting_order,0.375
book: add_resting_order,0.417
book: add_resting_order,0.375
book: add_resting_order,0.417
book: add_resting_order,0.416
book: add_resting_order,0.417
book: add_resting_order,0.417
book: add_resting_order,0.375
book: add_resting_order,0.375
book: add_resting_order,0.458
book: add_resting_order,0.416
book: add_resting_order,0.417
book: add_resting_order,0.417
book: add_resting_order,0.5
book: add_resting_order,0.417
book: add_resting_order,0.416
book: add_resting_order,0.375
book: add_resting_order,0.458
book: add_resting_order,0.416
book: add_resting_order,0.375
book: add_resting_order,0.375
book: add_resting_order,0.375
book: add_resting_order,0.417
book: add_resting_order,0.459
book: add_resting_order,0.417
book: add_resting_order,0.416
book: add_resting_order,0.417
book: add_resting_order,0.459
book: add_resting_order,0.375
book: add_resting_order,0.416
book: add_resting_order,0.417
book: add_resting_order,0.417
book: add_resting_order,0.416
book: add_resting_order,0.417
book: add_resting_order,0.417
book: add_resting_order,0.416
book: add_resting_order,0.416
book: add_resting_order,0.417
book: add_resting_order,0.375
book: add_resting_order,0.375
book: add_resting_order,0.542
book: add_resting_order,0.375
book: add_resting_order,0.459
book: add_resting_order,0.375
book: add_resting_order,0.375
book: add_resting_order,0.375
book: add_resting_order,0.417
book: add_resting_order,0.416
book: add_resting_order,0.375
book: add_resting_order,0.375
book: add_resting_order,0.417
